TimeStamp,SensorData_Name,SensorData_humidity,SensorData_temperature,SensorData_light,SensorData_barometric_pressure
2025-03-01 03:06:00+00:00,Temp_N_2_in,99.99,3.61,0.0,943.45
2025-03-01 03:06:00+00:00,Rad_S_3_out,99.99,2.87,0.0,943.34
2025-03-01 03:06:00+00:00,Temp_S_3_out,99.99,3.55,0.0,942.92
2025-03-01 03:06:00+00:00,Temp_S_2_out,99.99,3.56,0.0,943.02
2025-03-01 03:06:00+00:00,Rad_S_3_in,99.99,2.95,0.0,943.72
2025-03-01 03:06:00+00:00,Rad_S_1_in,0.0,2.59,0.0,942.65
2025-03-01 03:09:00+00:00,Temp_N_3_out,99.99,3.49,0.0,943.48
2025-03-01 03:09:00+00:00,Temp_N_2_out,99.99,3.78,0.0,943.67
2025-03-01 03:09:00+00:00,Temp_S_3_out,99.99,3.59,0.0,942.96
2025-03-01 03:09:00+00:00,Rad_N_1_out,99.99,3.08,0.0,942.18
2025-03-01 03:09:00+00:00,Temp_N_3_in,99.99,3.62,0.0,943.09
2025-03-01 03:09:00+00:00,Rad_S_1_out,27.45,2.97,0.0,943.59
2025-03-01 03:09:00+00:00,Temp_S_1_out,99.99,3.53,0.0,942.4
2025-03-01 03:09:00+00:00,Temp_N_1_in,99.99,3.64,727.68,942.45
2025-03-01 03:09:00+00:00,Rad_S_3_out,99.99,2.9,0.0,943.37
2025-03-01 03:09:00+00:00,Temp_S_2_out,99.99,3.6,0.0,942.94
2025-03-01 03:09:00+00:00,Rad_N_3_in,99.99,2.97,0.0,933.3
2025-03-01 03:09:00+00:00,Temp_N_2_in,99.99,3.67,0.0,943.37
2025-03-01 03:09:00+00:00,Rad_S_1_in,0.0,2.6,0.0,942.68
2025-03-01 03:09:00+00:00,Rad_S_3_in,99.99,2.96,0.0,943.67
2025-03-01 03:09:00+00:00,Temp_S_3_in,99.99,3.74,0.0,942.96
2025-03-01 03:12:00+00:00,Temp_S_3_in,99.99,3.81,0.0,942.99
2025-03-01 03:12:00+00:00,Temp_N_1_in,99.99,3.7,727.68,942.45
2025-03-01 03:12:00+00:00,Rad_S_3_out,99.99,2.95,0.0,943.39
2025-03-01 03:12:00+00:00,Temp_S_3_out,99.99,3.63,0.0,942.92
2025-03-01 03:12:00+00:00,Temp_N_3_in,99.99,3.73,0.0,943.15
2025-03-01 03:12:00+00:00,Temp_S_2_out,99.99,3.69,0.0,942.99
2025-03-01 03:12:00+00:00,Rad_N_3_in,99.99,3.07,0.0,933.24
2025-03-01 03:12:00+00:00,Temp_N_3_out,99.99,3.56,0.0,943.51
2025-03-01 03:12:00+00:00,Temp_S_1_out,99.99,3.75,0.0,942.38
2025-03-01 03:12:00+00:00,Rad_S_1_in,0.0,2.64,0.0,942.7
2025-03-01 03:12:00+00:00,Rad_S_3_in,99.99,3.0,0.0,943.67
2025-03-01 03:12:00+00:00,Temp_N_2_out,99.99,3.86,0.0,943.66
2025-03-01 03:12:00+00:00,Temp_N_2_in,99.99,3.76,0.0,943.42
2025-03-01 03:12:00+00:00,Rad_S_1_out,27.27,3.05,0.0,943.64
2025-03-01 03:12:00+00:00,Rad_N_1_out,99.99,3.13,0.0,942.23
2025-03-01 03:15:00+00:00,Rad_S_1_out,27.17,3.09,0.0,943.66
2025-03-01 03:15:00+00:00,Temp_S_3_out,99.99,3.73,0.0,942.98
2025-03-01 03:15:00+00:00,Temp_N_3_in,99.99,3.61,0.0,943.04
2025-03-01 03:15:00+00:00,Temp_N_2_in,99.99,3.85,0.0,943.42
2025-03-01 03:15:00+00:00,Rad_S_3_out,99.99,3.03,0.0,943.29
2025-03-01 03:15:00+00:00,Temp_S_3_in,99.99,3.87,0.0,942.93
2025-03-01 03:15:00+00:00,Temp_N_3_out,99.99,3.67,0.0,943.54
2025-03-01 03:15:00+00:00,Temp_S_2_out,99.99,3.69,0.0,942.99
2025-03-01 03:15:00+00:00,Temp_S_1_out,99.99,3.66,0.0,942.35
2025-03-01 03:15:00+00:00,Temp_N_2_out,99.99,3.93,0.0,943.69
2025-03-01 03:15:00+00:00,Rad_N_3_in,99.99,3.03,0.0,933.16
2025-03-01 03:15:00+00:00,Rad_S_3_in,99.99,3.06,0.0,943.64
2025-03-01 03:15:00+00:00,Rad_N_1_out,99.99,3.18,0.0,942.29
2025-03-01 03:15:00+00:00,Temp_N_1_in,99.99,3.85,727.68,942.44
2025-03-01 03:15:00+00:00,Rad_S_1_in,0.0,2.62,0.0,942.63
2025-03-01 03:18:00+00:00,Temp_N_3_out,99.99,3.57,0.0,943.55
2025-03-01 03:18:00+00:00,Temp_N_2_in,99.99,3.6,0.0,943.37
2025-03-01 03:18:00+00:00,Temp_S_1_out,99.99,3.51,0.0,942.38
2025-03-01 03:18:00+00:00,Rad_S_3_out,99.99,3.0,0.0,943.34
2025-03-01 03:18:00+00:00,Temp_S_3_in,99.99,3.75,0.0,942.98
2025-03-01 03:18:00+00:00,Rad_S_3_in,99.99,3.0,0.0,943.62
2025-03-01 03:18:00+00:00,Temp_N_2_out,99.99,3.85,0.0,943.65
2025-03-01 03:18:00+00:00,Temp_S_3_out,99.99,3.62,0.0,942.98
2025-03-01 03:18:00+00:00,Rad_N_1_out,99.99,3.13,0.0,942.23
2025-03-01 03:18:00+00:00,Temp_N_1_in,99.99,3.7,727.68,942.4
2025-03-01 03:18:00+00:00,Temp_S_2_out,99.99,3.57,0.0,943.04
2025-03-01 03:18:00+00:00,Rad_S_1_out,27.45,3.0,0.0,943.64
2025-03-01 03:18:00+00:00,Rad_N_3_in,99.99,2.97,0.0,933.14
2025-03-01 03:18:00+00:00,Rad_S_1_in,0.0,2.6,0.0,942.7
2025-03-01 03:18:00+00:00,Temp_N_3_in,99.99,3.52,0.0,943.09
2025-03-01 03:21:00+00:00,Rad_N_1_out,99.99,3.05,0.0,942.18
2025-03-01 03:21:00+00:00,Temp_S_3_in,99.99,3.64,0.0,943.0
2025-03-01 03:21:00+00:00,Temp_N_2_in,99.99,3.57,0.0,943.4
2025-03-01 03:21:00+00:00,Temp_N_3_out,99.99,3.43,0.0,943.42
2025-03-01 03:21:00+00:00,Temp_N_3_in,99.99,3.52,0.0,943.15
2025-03-01 03:21:00+00:00,Temp_N_2_out,99.99,3.72,0.0,943.64
2025-03-01 03:21:00+00:00,Temp_S_3_out,99.99,3.52,0.0,942.91
2025-03-01 03:21:00+00:00,Temp_S_1_out,99.99,3.46,0.0,942.35
2025-03-01 03:21:00+00:00,Rad_S_3_out,99.99,2.91,0.0,943.34
2025-03-01 03:21:00+00:00,Temp_S_2_out,99.99,3.49,0.0,942.94
2025-03-01 03:21:00+00:00,Rad_N_3_in,99.99,2.92,0.0,933.2
2025-03-01 03:21:00+00:00,Rad_S_1_out,27.55,2.92,0.0,943.69
2025-03-01 03:21:00+00:00,Temp_N_1_in,99.99,3.7,727.68,942.4
2025-03-01 03:21:00+00:00,Rad_S_1_in,0.0,2.56,0.0,942.65
2025-03-01 03:21:00+00:00,Rad_S_3_in,99.99,2.93,0.0,943.59
2025-03-01 03:24:00+00:00,Temp_N_3_in,99.99,3.61,0.0,943.09
2025-03-01 03:24:00+00:00,Rad_S_1_in,0.0,2.59,0.0,942.65
2025-03-01 03:24:00+00:00,Rad_S_3_in,99.99,2.92,0.0,943.57
2025-03-01 03:24:00+00:00,Temp_S_3_out,99.99,3.51,0.0,942.92
2025-03-01 03:24:00+00:00,Rad_N_1_out,99.99,3.03,0.0,942.18
2025-03-01 03:24:00+00:00,Temp_N_2_in,99.99,3.64,0.0,943.4
2025-03-01 03:24:00+00:00,Rad_N_3_in,99.99,2.97,0.0,933.19
2025-03-01 03:24:00+00:00,Rad_S_1_out,27.36,2.98,0.0,943.67
2025-03-01 03:24:00+00:00,Temp_N_3_out,99.99,3.41,0.0,943.55
2025-03-01 03:24:00+00:00,Rad_S_3_out,99.99,2.87,0.0,943.34
2025-03-01 03:24:00+00:00,Temp_N_2_out,99.99,3.69,0.0,943.55
2025-03-01 03:24:00+00:00,Temp_S_2_out,99.99,3.52,0.0,942.98
2025-03-01 03:24:00+00:00,Temp_N_1_in,99.99,3.61,727.68,942.51
2025-03-01 03:24:00+00:00,Temp_S_1_out,99.99,3.51,0.0,942.4
2025-03-01 03:24:00+00:00,Temp_S_3_in,99.99,3.69,0.0,942.98
2025-03-01 03:27:00+00:00,Rad_S_1_out,27.36,3.0,0.0,943.59
2025-03-01 03:27:00+00:00,Temp_S_1_out,99.99,3.59,0.0,942.4
2025-03-01 03:27:00+00:00,Rad_S_3_out,99.99,2.9,0.0,943.34
2025-03-01 03:27:00+00:00,Temp_N_2_out,99.99,3.75,0.0,943.61
2025-03-01 03:27:00+00:00,Rad_S_3_in,99.99,2.93,0.0,943.64
2025-03-01 03:27:00+00:00,Temp_N_1_in,99.99,3.69,727.68,942.43
2025-03-01 03:27:00+00:00,Temp_S_3_out,99.99,3.55,0.0,942.91
2025-03-01 03:27:00+00:00,Rad_N_3_in,99.99,2.98,0.0,933.13
2025-03-01 03:27:00+00:00,Temp_S_2_out,99.99,3.57,0.0,942.94
2025-03-01 03:27:00+00:00,Temp_N_3_out,99.99,3.46,0.0,943.53
2025-03-01 03:27:00+00:00,Rad_N_1_out,99.99,3.06,0.0,942.18
2025-03-01 03:27:00+00:00,Temp_N_3_in,99.99,3.66,0.0,943.09
2025-03-01 03:27:00+00:00,Temp_S_3_in,99.99,3.74,0.0,942.92
2025-03-01 03:27:00+00:00,Rad_S_1_in,0.0,2.6,0.0,942.63
2025-03-01 03:27:00+00:00,Temp_N_2_in,99.99,3.69,0.0,943.48
2025-03-01 03:30:00+00:00,Rad_N_3_in,99.99,2.9,0.0,933.14
2025-03-01 03:30:00+00:00,Rad_S_1_out,27.55,2.91,0.0,943.54
2025-03-01 03:30:00+00:00,Rad_S_3_out,99.99,2.93,0.0,943.34
2025-03-01 03:30:00+00:00,Rad_S_1_in,0.0,2.5,0.0,942.57
2025-03-01 03:30:00+00:00,Temp_N_3_in,99.99,3.59,0.0,943.17
2025-03-01 03:30:00+00:00,Temp_N_2_out,99.99,3.78,0.0,943.54
2025-03-01 03:30:00+00:00,Temp_S_2_out,99.99,3.59,0.0,942.94
2025-03-01 03:30:00+00:00,Temp_S_3_out,99.99,3.61,0.0,942.92
2025-03-01 03:30:00+00:00,Temp_N_2_in,99.99,3.69,0.0,943.43
2025-03-01 03:30:00+00:00,Temp_N_3_out,99.99,3.49,0.0,943.5
2025-03-01 03:30:00+00:00,Rad_N_1_out,99.99,3.03,0.0,942.21
2025-03-01 03:30:00+00:00,Rad_S_3_in,99.99,2.93,0.0,943.59
2025-03-01 03:30:00+00:00,Temp_N_1_in,99.99,3.71,727.68,942.4
2025-03-01 03:30:00+00:00,Temp_S_1_out,99.99,3.57,0.0,942.43
2025-03-01 03:30:00+00:00,Temp_S_3_in,99.99,3.7,0.0,942.9
2025-03-01 03:33:00+00:00,Temp_N_3_in,99.99,3.56,0.0,943.13
2025-03-01 03:33:00+00:00,Temp_N_2_out,99.99,3.75,0.0,943.62
2025-03-01 03:33:00+00:00,Rad_N_3_in,99.99,2.87,0.0,933.11
2025-03-01 03:33:00+00:00,Rad_S_3_in,99.99,2.85,0.0,943.57
2025-03-01 03:33:00+00:00,Rad_S_1_out,27.45,2.91,0.0,943.67
2025-03-01 03:33:00+00:00,Temp_S_3_in,99.99,3.69,0.0,942.91
2025-03-01 03:33:00+00:00,Temp_S_1_out,99.99,3.53,0.0,942.33
2025-03-01 03:33:00+00:00,Temp_N_3_out,99.99,3.46,0.0,943.43
2025-03-01 03:33:00+00:00,Temp_N_1_in,99.99,3.69,727.68,942.45
2025-03-01 03:33:00+00:00,Rad_N_1_out,99.99,3.01,0.0,942.24
2025-03-01 03:33:00+00:00,Rad_S_1_in,0.0,2.47,0.0,942.55
2025-03-01 03:33:00+00:00,Temp_S_2_out,99.99,3.56,0.0,942.94
2025-03-01 03:33:00+00:00,Temp_N_2_in,99.99,3.65,0.0,943.37
2025-03-01 03:33:00+00:00,Temp_S_3_out,99.99,3.56,0.0,942.96
2025-03-01 03:33:00+00:00,Rad_S_3_out,99.99,2.91,0.0,943.23
2025-03-01 03:36:00+00:00,Temp_N_2_out,99.99,3.69,0.0,943.59
2025-03-01 03:36:00+00:00,Temp_N_3_in,99.99,3.52,0.0,943.04
2025-03-01 03:36:00+00:00,Rad_S_1_in,0.0,2.47,0.0,942.55
2025-03-01 03:36:00+00:00,Temp_S_3_out,99.99,3.49,0.0,942.91
2025-03-01 03:36:00+00:00,Temp_N_2_in,99.99,3.55,0.0,943.35
2025-03-01 03:36:00+00:00,Temp_S_3_in,99.99,3.63,0.0,942.89
2025-03-01 03:36:00+00:00,Rad_S_3_out,99.99,2.9,0.0,943.29
2025-03-01 03:36:00+00:00,Rad_N_3_in,99.99,2.87,0.0,933.15
2025-03-01 03:36:00+00:00,Temp_N_1_in,99.99,3.61,727.68,942.43
2025-03-01 03:36:00+00:00,Rad_S_3_in,99.99,2.87,0.0,943.64
2025-03-01 03:36:00+00:00,Temp_S_2_out,99.99,3.49,0.0,943.02
2025-03-01 03:36:00+00:00,Rad_S_1_out,27.55,2.89,0.0,943.67
2025-03-01 03:36:00+00:00,Rad_N_1_out,99.99,2.98,0.0,942.27
2025-03-01 03:36:00+00:00,Temp_S_1_out,99.99,3.45,0.0,942.38
2025-03-01 03:36:00+00:00,Temp_N_3_out,99.99,3.39,0.0,943.52
2025-03-01 03:39:00+00:00,Rad_S_3_in,99.99,2.84,0.0,943.62
